Unnamed: 0,카페이름,유사한 스타일,유사도
37,오푸,"['시티보이', '걸리시', '레트로', '미니멀', '캐주얼', '스트릿', '클래식', '로맨틱', '스포티', '워크웨어', '고프코어', '시크']","[0.3418817293789138, 0.2279211529192759, 0.2182178902359924, 0.2182178902359924, 0.20203050891044214, 0.11952286093343936, 0.1091089451179962, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,치카치카 성수,"['캐주얼', '로맨틱', '시티보이', '걸리시', '레트로', '미니멀', '스트릿', '클래식', '스포티', '워크웨어', '고프코어', '시크']","[0.2672612419124244, 0.21081851067789195, 0.20100756305184242, 0.20100756305184242, 0.19245008972987526, 0.19245008972987526, 0.10540925533894598, 0.09622504486493763, 0.0, 0.0, 0.0, 0.0]"
39,어니언 성수,"['레트로', '캐주얼', '시티보이', '미니멀', '스트릿', '걸리시', '클래식', '로맨틱', '스포티', '워크웨어', '고프코어', '시크']","[0.4082482904638631, 0.2834733547569204, 0.21320071635561041, 0.2041241452319315, 0.11180339887498948, 0.10660035817780521, 0.10206207261596575, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,쎈느Scene,"['미니멀', '캐주얼', '레트로', '로맨틱', '스트릿', '걸리시', '클래식', '시티보이', '시크', '스포티', '워크웨어', '고프코어']","[0.37523938719322825, 0.2977750001912791, 0.16081688022566926, 0.11744404390294069, 0.11744404390294069, 0.11197850219117086, 0.1072112534837795, 0.05598925109558543, 0.05598925109558543, 0.0, 0.0, 0.0]"
41,젤라또투유,"['로맨틱', '스트릿', '걸리시', '레트로', '미니멀', '캐주얼', '시티보이', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.31622776601683794, 0.15811388300841897, 0.15075567228888181, 0.14433756729740646, 0.14433756729740646, 0.1336306209562122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,와이덴 성수,"['캐주얼', '걸리시', '워크웨어', '고프코어', '스트릿', '시티보이', '레트로', '클래식', '미니멀', '로맨틱', '스포티', '시크']","[0.3030457633656632, 0.2279211529192759, 0.1259881576697424, 0.1259881576697424, 0.11952286093343936, 0.11396057645963795, 0.1091089451179962, 0.1091089451179962, 0.1091089451179962, 0.0, 0.0, 0.0]"
43,카페메이 성수,"['캐주얼', '로맨틱', '시티보이', '스포티', '스트릿', '걸리시', '레트로', '클래식', '미니멀', '워크웨어', '고프코어', '시크']","[0.3563483225498992, 0.21081851067789195, 0.20100756305184242, 0.1111111111111111, 0.10540925533894598, 0.10050378152592121, 0.09622504486493763, 0.09622504486493763, 0.09622504486493763, 0.0, 0.0, 0.0]"
44,베티버 성수,"['걸리시', '미니멀', '캐주얼', '스트릿', '시티보이', '레트로', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.26967994498529685, 0.25819888974716115, 0.23904572186687872, 0.1414213562373095, 0.13483997249264842, 0.12909944487358058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,레이더 성수,"['캐주얼', '로맨틱', '스트릿', '시티보이', '걸리시', '레트로', '미니멀', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.2672612419124244, 0.21081851067789195, 0.21081851067789195, 0.20100756305184242, 0.20100756305184242, 0.19245008972987526, 0.19245008972987526, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,로우키,"['캐주얼', '미니멀', '시티보이', '클래식', '로맨틱', '레트로', '고프코어', '스트릿', '걸리시', '스포티', '워크웨어', '시크']","[0.33601075251612356, 0.31108550841912763, 0.21661214442955296, 0.15554275420956382, 0.11359236684941297, 0.10369516947304254, 0.05986843400892497, 0.056796183424706485, 0.05415303610738824, 0.0, 0.0, 0.0]"
