상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220812324733,성수도시개발,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,317,23,서울특별시 성동구 성수동2가 317-23,1.12E+11,서울특별시 성동구 성수이로20길,3,,1.12E+24,세종빌딩,서울특별시 성동구 성수이로20길 3,133835,4783,,6,,127.057154,37.5437288
MA010120220812441548,어퍼룸,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,299,156,서울특별시 성동구 성수동2가 299-156,1.12E+11,서울특별시 성동구 성수일로12길,21,,1.12E+24,,서울특별시 성동구 성수일로12길 21,133833,4792,,1,,127.0535647,37.54836752
MA010120220812493243,그레이박스카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,277,101,서울특별시 성동구 성수동2가 277-101,1.12E+11,서울특별시 성동구 아차산로13길,16,,1.12E+24,성수동램킨중흥S클래스오피스텔,서울특별시 성동구 아차산로13길 16,133832,4798,,1,,127.0613747,37.54464545
MA010120220812594063,성수동대림창고갤러리,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,322,32,서울특별시 성동구 성수동2가 322-32,1.12E+11,서울특별시 성동구 성수이로,78,,1.12E+24,대림창고,서울특별시 성동구 성수이로 78,133827,4784,,,,127.0566259,37.54163414
MA010120220812553079,유스트레스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,315,39,서울특별시 성동구 성수동2가 315-39,1.12E+11,서울특별시 성동구 연무장7가길,9,,1.12E+24,,서울특별시 성동구 연무장7가길 9,133835,4782,,1,,127.0554655,37.54302149
MA010120220812522575,리브릭,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,269,146,서울특별시 성동구 성수동2가 269-146,1.12E+11,서울특별시 성동구 뚝섬로15길,29,,1.12E+24,146빌딩,서울특별시 성동구 뚝섬로15길 29,133826,4786,,1,,127.0616583,37.53917833
MA010120220812831029,트리운드,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,565,4,서울특별시 성동구 성수동2가 565-4,1.12E+11,서울특별시 성동구 성덕정길,101,2,1.12E+24,,서울특별시 성동구 성덕정길 101-2,133828,4776,,2,,127.0548445,37.53752913
MA010120220812785869,커피베이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,333,15,서울특별시 성동구 성수동2가 333-15,1.12E+11,서울특별시 성동구 성수이로7길,7,,1.12E+24,서울숲한라시그마밸리Ⅱ,서울특별시 성동구 성수이로7길 7,133827,4781,,,,127.0544425,37.53979655
MA010120220812886695,턴온,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,302,24,서울특별시 성동구 성수동2가 302-24,1.12E+11,서울특별시 성동구 연무장3길,14,,1.12E+24,,서울특별시 성동구 연무장3길 14,133835,4782,,1,,127.0518223,37.54475835
MA010120220812952684,굴림,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,520,2,서울특별시 성동구 성수동2가 520-2,1.12E+11,서울특별시 성동구 성수이로5길,1,,1.12E+24,,서울특별시 성동구 성수이로5길 1,133828,4775,,1,,127.0535592,37.53626637
MA010120220813235639,하루앤원데이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,314,5,서울특별시 성동구 성수동2가 314-5,1.12E+11,서울특별시 성동구 아차산로,92,,1.12E+24,STOWER,서울특별시 성동구 아차산로 92,133835,4782,,1,,127.0542216,37.54474155
MA010120220813272981,플록스phlox,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,532,37,서울특별시 성동구 성수동2가 532-37,1.12E+11,서울특별시 성동구 성덕정길,92,2,1.12E+24,,서울특별시 성동구 성덕정길 92-2,133828,4775,,1,,127.0537577,37.53757448
